iter	Passed	Remaining
0	69	69708
1	73	36540
2	76	25558
3	83	20685
4	85	17001
5	88	14667
6	90	12902
7	95	11881
8	98	10846
9	101	10033
10	103	9343
11	107	8845
12	113	8598
13	115	8163
14	118	7798
15	121	7467
16	128	7434
17	131	7162
18	134	6923
19	136	6693
20	144	6714
21	146	6526
22	149	6343
23	152	6193
24	159	6229
25	162	6077
26	164	5934
27	167	5819
28	176	5924
29	179	5808
30	182	5706
31	193	5842
32	196	5758
33	199	5661
34	208	5756
35	211	5670
36	217	5660
37	222	5638
38	226	5569
39	234	5638
40	240	5624
41	243	5555
42	255	5679
43	258	5613
44	264	5608
45	269	5594
46	273	5537
47	275	5467
48	281	5458
49	283	5391
50	286	5334
51	289	5272
52	293	5251
53	299	5241
54	301	5185
55	305	5147
56	312	5176
57	316	5136
58	320	5104
59	331	5186
60	334	5142
61	337	5099
62	343	5115
63	349	5114
64	352	5069
65	356	5044
66	363	5059
67	366	5017
68	368	4968
69	371	4940
70	375	4908
71	377	4870
72	380	4831
73	384	4808
74	389	4809
75	392	4776
76	395	4746
77	399	4725
78	407	4746
79	410	4717
80	413	4690
81	416	4662
82	421	4656
83	430	4698
84	435	4687
85	438	4656
86	440	4625
87	443	4593
88	446	4570
89	450	4551
90	452	4524
91	455	4494
92	458	4469
93	460	4441
94	463	4416
95	467	4400
96	469	4375
97	472	4348
98	475	4323
99	477	4300
100	480	4276
101	483	4254
102	485	4230
103	488	4208
104	491	4189
105	494	4169
106	497	4151
107	500	4132
108	502	4110
109	505	4090
110	508	4070
111	511	4051
112	516	4052
113	519	4039
114	523	4025
115	526	4010
116	529	3996
117	532	3977
118	534	3959
119	537	3941
120	540	3924
121	542	3907
122	545	3888
123	548	3871
124	550	3854
125	553	3841
126	556	3825
127	559	3814
128	562	3799
129	565	3783
130	567	3767
131	570	3751
132	573	3740
133	577	3731
134	580	3718
135	583	3707
136	586	3697
137	590	3688
138	593	3676
139	596	3663
140	599	3650
141	602	3640
142	606	3632
143	612	3643
144	616	3634
145	620	3632
146	623	3619
147	626	3607
148	629	3597
149	632	3586
150	635	3574
151	639	3564
152	642	3555
153	645	3546
154	648	3538
155	652	3531
156	655	3518
157	657	3506
158	660	3493
159	663	3482
160	667	3476
161	669	3464
162	672	3451
163	674	3440
164	677	3429
165	680	3419
166	683	3410
167	686	3399
168	688	3387
169	691	3376
170	694	3365
171	696	3354
172	699	3344
173	702	3332
174	705	3325
175	708	3317
176	712	3311
177	714	3300
178	717	3290
179	719	3279
180	722	3268
181	725	3259
182	727	3250
183	730	3240
184	733	3231
185	736	3221
186	739	3213
187	741	3204
188	744	3195
189	747	3185
190	749	3175
191	752	3166
192	754	3155
193	757	3146
194	759	3136
195	763	3132
196	766	3122
197	768	3114
198	771	3105
199	774	3096
200	777	3089
201	779	3081
202	782	3071
203	784	3062
204	787	3053
205	789	3044
206	792	3036
207	795	3027
208	797	3018
209	800	3010
210	803	3002
211	805	2994
212	808	2986
213	810	2978
214	813	2970
215	816	2962
216	818	2954
217	822	2951
218	826	2948
219	834	2960
220	839	2959
221	842	2952
222	845	2946
223	848	2938
224	851	2932
225	859	2943
226	863	2940
227	866	2933
228	869	2927
229	872	2921
230	875	2913
231	877	2905
232	880	2897
233	883	2892
234	886	2885
235	888	2877
236	891	2871
237	894	2865
238	897	2857
239	900	2850
240	902	2843
241	905	2836
242	908	2828
243	910	2820
244	912	2813
245	916	2808
246	919	2801
247	921	2795
248	924	2788
249	926	2779
250	929	2772
251	932	2767
252	935	2760
253	937	2754
254	940	2747
255	943	2740
256	948	2742
257	952	2740
258	956	2735
259	959	2732
260	965	2734
261	968	2729
262	972	2724
263	976	2721
264	982	2724
265	985	2718
266	987	2711
267	990	2706
268	998	2713
269	1001	2706
270	1003	2699
271	1008	2698
272	1012	2696
273	1015	2689
274	1019	2688
275	1026	2692
276	1029	2686
277	1032	2680
278	1034	2673
279	1040	2674
280	1044	2671
281	1047	2666
282	1050	2661
283	1053	2656
284	1058	2655
285	1061	2649
286	1063	2643
287	1066	2636
288	1069	2631
289	1073	2627
290	1075	2620
291	1078	2614
292	1080	2607
293	1083	2602
294	1089	2602
295	1091	2596
296	1094	2589
297	1096	2583
298	1099	2576
299	1103	2575
300	1106	2569
301	1108	2563
302	1112	2558
303	1118	2560
304	1121	2556
305	1124	2550
306	1127	2544
307	1129	2538
308	1134	2537
309	1137	2531
310	1140	2526
311	1143	2521
312	1148	2520
313	1150	2514
314	1153	2508
315	1156	2502
316	1162	2504
317	1165	2499
318	1168	2494
319	1171	2490
320	1179	2494
321	1181	2488
322	1184	2482
323	1187	2476
324	1194	2481
325	1197	2475
326	1200	2470
327	1203	2465
328	1207	2463
329	1211	2459
330	1214	2453
331	1216	2448
332	1219	2442
333	1225	2444
334	1228	2438
335	1231	2432
336	1233	2427
337	1239	2427
338	1242	2422
339	1245	2416
340	1247	2411
341	1250	2405
342	1256	2406
343	1258	2400
344	1261	2394
345	1264	2389
346	1267	2384
347	1271	2382
348	1274	2376
349	1276	2371
350	1279	2365
351	1283	2362
352	1288	2362
353	1291	2357
354	1294	2352
355	1298	2349
356	1303	2346
357	1305	2341
358	1308	2335
359	1310	2330
360	1315	2327
361	1319	2324
362	1321	2318
363	1324	2313
364	1327	2309
365	1356	2350
366	1360	2347
367	1367	2347
368	1370	2343
369	1384	2357
370	1387	2352
371	1391	2348
372	1396	2347
373	1400	2343
374	1403	2338
375	1405	2332
376	1408	2327
377	1413	2326
378	1416	2320
379	1419	2315
380	1422	2310
381	1429	2312
382	1432	2307
383	1434	2301
384	1437	2296
385	1443	2295
386	1446	2291
387	1449	2286
388	1452	2281
389	1458	2281
390	1461	2276
391	1464	2271
392	1467	2266
393	1469	2260
394	1475	2259
395	1477	2253
396	1480	2248
397	1483	2244
398	1486	2239
399	1491	2236
400	1493	2231
401	1497	2226
402	1499	2221
403	1503	2217
404	1506	2213
405	1509	2208
406	1512	2203
407	1515	2198
408	1519	2195
409	1522	2190
410	1525	2185
411	1528	2181
412	1530	2175
413	1535	2172
414	1538	2169
415	1542	2165
416	1546	2161
417	1553	2163
418	1557	2159
419	1560	2154
420	1563	2150
421	1567	2146
422	1571	2143
423	1574	2138
424	1577	2133
425	1582	2132
426	1585	2127
427	1588	2122
428	1591	2117
429	1594	2113
430	1597	2108
431	1600	2104
432	1603	2099
433	1605	2094
434	1609	2090
435	1612	2085
436	1615	2080
437	1617	2075
438	1620	2070
439	1622	2065
440	1625	2060
441	1629	2057
442	1632	2052
443	1635	2047
444	1637	2042
445	1640	2038
446	1644	2033
447	1646	2028
448	1649	2023
449	1651	2018
450	1654	2013
451	1656	2008
452	1659	2004
453	1662	1999
454	1665	1994
455	1667	1989
456	1670	1984
457	1673	1979
458	1676	1975
459	1678	1970
460	1681	1965
461	1683	1960
462	1686	1956
463	1689	1951
464	1691	1946
465	1694	1941
466	1697	1936
467	1699	1932
468	1702	1927
469	1705	1923
470	1710	1920
471	1713	1916
472	1715	1911
473	1718	1907
474	1721	1902
475	1724	1898
476	1727	1894
477	1730	1889
478	1733	1886
479	1740	1885
480	1743	1880
481	1745	1876
482	1748	1871
483	1751	1866
484	1753	1862
485	1756	1857
486	1758	1852
487	1761	1848
488	1764	1843
489	1767	1839
490	1770	1835
491	1773	1830
492	1775	1826
493	1778	1821
494	1780	1816
495	1783	1812
496	1786	1807
497	1788	1803
498	1791	1798
499	1794	1794
500	1797	1790
501	1801	1786
502	1804	1782
503	1806	1777
504	1809	1773
505	1811	1768
506	1815	1765
507	1817	1760
508	1820	1756
509	1823	1751
510	1826	1747
511	1829	1743
512	1832	1739
513	1834	1735
514	1837	1730
515	1840	1725
516	1842	1721
517	1845	1717
518	1848	1712
519	1850	1708
520	1853	1703
521	1856	1699
522	1858	1695
523	1862	1691
524	1864	1687
525	1867	1682
526	1869	1678
527	1872	1673
528	1875	1669
529	1877	1665
530	1880	1660
531	1882	1656
532	1885	1652
533	1888	1648
534	1891	1643
535	1894	1639
536	1896	1635
537	1900	1632
538	1903	1628
539	1906	1624
540	1909	1620
541	1912	1616
542	1915	1612
543	1921	1610
544	1925	1607
545	1927	1603
546	1930	1598
547	1932	1594
548	1935	1590
549	1939	1586
550	1942	1582
551	1945	1578
552	1947	1574
553	1950	1570
554	1953	1566
555	1957	1562
556	1959	1558
557	1962	1554
558	1965	1550
559	1967	1546
560	1970	1541
